7564 2
81626 3.966187 2.414551
16246 9.579446 25.196091
19729 3.539373 2.956761
29574 9.147035 5.667305
33045 3.488656 1.778441
47998 8.239514 5.365286
49453 9.968994 -9.131818
52148 3.616417 2.241366
53171 3.590170 2.160804
57478 -3.636566 1.615342
58947 4.114181 2.388392
65889 3.856956 20.492899
69807 9.627343 -11.962066
71586 2.927828 9.391369
73498 3.772545 3.897837
77976 3.356589 2.144973
82175 3.701036 2.157009
82686 5.532704 4.197321
83197 3.977682 2.281888
86550 3.552621 2.482591
87044 4.721103 2.040303
90037 4.850074 5.176266
91476 2.353483 -4.953112
93858 6.522552 8.843233
96866 6.684068 5.579990
100206 7.502600 3.440840
104817 3.193532 3.837920
104841 3.904939 5.500267
105429 3.502460 1.226342
106876 4.905525 3.210036
107009 -1.379634 7.354656
107254 3.629955 1.069719
14598 3.247810 5.945271
45620 6.314923 13.716377
46269 4.704741 10.929504
57427 4.181203 5.278354
59913 2.928118 16.371773
62327 -3.067421 10.112101
93928 -8.698900 14.943299
95053 3.914544 5.147383
104056 0.592552 13.047545
4750 3.190213 4.908908
209 3.114376 3.718469
1631 1.882284 12.061774
1895 3.580132 -3.395634
5087 4.382270 9.705492
6088 9.114948 2.581162
8536 0.170215 4.613100
9412 5.462044 3.382874
10099 6.718202 15.835534
11699 -4.450808 15.359510
23802 9.012040 2.528317
32021 21.240793 9.564271
34036 7.118234 4.386640
46144 2.235599 10.040098
50279 3.431002 4.975802
51800 -4.707348 15.582567
52287 3.579507 7.079483
57702 -4.508816 15.438100
59122 3.296147 4.753602
60010 -5.531820 3.469359
63527 0.391332 16.455891
64131 -4.531745 15.422268
64164 2.765486 4.392776
64623 0.882044 16.420263
66863 3.248831 4.413344
67236 0.152262 16.588840
70050 4.892851 3.519565
70665 0.002445 16.537220
72119 -4.731588 15.511044
74174 2.834573 4.758112
78851 7.072462 6.073443
80341 3.074801 4.366190
82037 1.705095 5.215052
82247 2.772527 4.034320
83259 0.255939 16.176476
83562 13.060374 6.683880
83824 5.871439 3.940163
85287 3.619392 4.716416
88584 0.224217 16.754482
88748 5.847720 6.548515
89766 3.324397 -6.945600
92915 7.973636 15.196329
95372 0.175604 17.173838
95641 2.302912 6.150246
96901 0.623471 5.156896
101244 -4.043797 5.195024
104422 -4.761909 15.553752
105341 8.877219 16.350275
105877 3.593258 4.894895
107534 -0.253335 6.453768
7930 2.562956 1.241562
14502 2.569496 3.609641
20850 1.824202 2.575852
44858 3.077834 3.039149
52169 3.858484 3.528656
62552 3.225591 3.981975
82995 -3.523292 18.128937
98707 -2.074605 13.733756
105046 2.225889 3.678140
60397 -5.608347 3.861980
19503 -5.654176 3.885419
24345 15.866784 10.679341
47236 -5.607247 3.705190
47678 5.325655 1.597326
14074 5.162893 1.578726
55364 7.810444 3.280573
64715 3.152704 1.934415
86311 -12.864066 -0.116519
93492 5.392298 1.962409
94402 4.166762 -3.731057
97347 5.606808 1.268634
15263 6.052375 12.353861
89961 -13.170917 -0.039731
77574 10.083145 4.545944
7978 -5.474306 -0.444747
15720 9.982800 4.808105
40976 2.612134 2.946111
63145 10.015947 4.411933
86381 10.159456 4.614296
43456 -1.558473 1.315695
21570 -1.126278 0.749041
32417 -2.442810 1.919658
35142 5.184941 11.652450
53423 -2.218661 2.128459
55966 -1.496285 1.415569
66664 -1.192956 0.619870
66689 -1.333684 1.630592
68851 -1.306111 1.677176
75493 -1.271747 1.619199
75562 -1.555115 1.154598
77734 -1.579002 1.273567
86234 -1.593412 1.334909
91426 -1.531976 1.318245
96139 -1.630455 1.380135
8710 12.467868 4.460556
13857 2.711408 1.549028
18230 5.297346 20.358953
18367 -5.834306 -3.231592
25922 -1.092462 0.637778
29976 9.897521 5.143912
38139 3.148761 2.061009
42608 12.469603 4.453046
47011 12.502172 4.496838
48710 -4.473235 15.185734
50506 -5.593881 -3.177910
51275 -6.484889 -3.622922
58470 12.640546 4.548804
63545 -5.539281 -6.897368
69920 5.969028 1.146038
72461 -6.099738 -2.832756
76872 -1.220770 0.779694
99870 -5.367622 14.046211
4853 0.348299 0.591055
10185 -3.767852 -5.116913
15975 0.547815 2.390711
18695 -0.772337 0.437149
18705 1.773525 -8.689325
19465 -4.536283 11.472295
23835 -2.350818 1.697023
27130 -9.229427 -2.858662
27537 -5.109835 1.413505
35487 6.882120 8.681811
41003 -1.482762 0.221519
46066 3.380569 10.368906
54119 3.573476 0.985514
54165 -4.821116 2.022609
58382 -0.862384 0.620133
88202 -0.951746 0.329995
91898 3.686447 -4.696124
94695 -5.652478 1.225699
96583 -3.478379 -5.075087
86764 -0.430664 0.053278
5541 -5.454517 0.862242
11174 2.360276 -3.463961
13764 20.071283 7.607114
15113 2.349964 8.882232
15439 4.361200 12.860652
17489 -0.425568 -0.037327
18024 -0.401775 -0.133570
20295 -3.966801 1.836593
22757 0.690775 -2.145459
40820 -4.525991 -3.909014
40831 -0.150755 -0.391848
55660 -8.738328 -0.783665
60818 -0.646356 0.483873
62345 0.020951 0.206200
65562 -0.319606 -0.259272
67072 -1.342705 3.038919
68298 -0.216493 -0.175857
73687 -0.645838 1.291337
79603 -0.720797 0.405604
85802 -4.123136 6.619008
88227 -0.612794 0.491947
93429 -0.033603 -1.807549
98978 -0.187732 -0.495670
100773 2.476536 -3.188256
40634 -5.841073 3.670171
9238 -6.084276 3.563601
24031 -5.633737 3.661036
27024 -5.830130 3.661424
30775 -5.595316 3.841851
40435 -5.798791 3.709905
48528 -5.850120 3.642543
89615 -5.984126 3.447504
95831 11.374274 5.691576
9131 14.234675 13.828813
11029 -6.384013 2.821414
30079 -6.261929 3.212255
50625 -5.722270 3.966164
67777 6.682782 8.948693
79754 -6.714218 4.292155
83984 -5.168685 2.582292
85146 3.041466 2.233593
88091 -5.813704 3.653579
27693 20.065744 7.714250
100048 20.040112 7.617849
102741 -2.473306 4.560801
8416 5.653195 12.074310
17942 -2.574731 4.399438
32438 8.160288 17.014046
70112 -1.061405 -5.400654
73647 -1.972664 4.988865
85822 -2.144587 4.292830
105058 -4.128882 5.284501
34964 6.177432 6.209065
38533 7.844931 22.481260
56272 -4.373039 5.324517
70939 1.107125 7.699830
85351 -4.356483 5.361264
96716 -4.466779 5.135242
101213 -0.096530 5.899749
105594 1.900439 7.203313
106784 -3.834601 5.078510
107201 -4.394809 5.436454
12042 -5.726589 -7.105116
41212 1.482292 2.916358
78348 -14.585290 0.830104
34311 2.837289 1.659188
2394 1.755232 3.284004
7583 2.938649 1.872857
78721 2.990511 1.642195
104609 3.150852 1.093213
107885 2.605488 1.507922
41495 -0.171197 -7.040442
915 -0.095702 -7.260159
1644 -0.166767 -7.144755
8355 6.955489 -9.166190
8448 -0.115747 -7.245621
20950 -0.736173 -6.839185
26311 2.688175 -6.461730
38468 -0.949420 5.759420
42141 -0.077102 -7.281811
46317 5.317672 -0.227603
48259 -0.105731 -7.242085
60878 2.268465 -2.828532
64225 0.060305 -7.142310
67903 10.256319 16.753397
68163 -0.134237 -7.232294
73862 -0.142080 -6.078434
81727 -0.136378 -6.144501
81964 -0.106864 -7.237931
85028 1.703285 -4.230358
89785 -0.605490 -7.891160
100639 -1.237085 -6.775609
103104 2.752490 -3.118375
11428 -1.644432 -9.267259
36134 -13.068919 0.028415
44557 -0.683039 -8.211443
52526 4.889048 6.554762
64685 3.431778 -3.846888
73177 -12.969316 0.261340
100038 -13.137461 0.400572
5254 2.641859 -4.653609
9053 2.359914 -8.226686
9991 -6.322082 -3.320867
15193 -0.335289 -6.816427
15778 2.884706 9.948178
16847 2.552877 -7.828715
22843 4.383642 -2.037294
26002 3.232435 1.696691
30365 3.404989 0.833707
43581 1.808380 -8.573263
44000 -6.844665 -1.647094
54380 4.044485 3.574297
55823 0.573773 1.207301
60432 2.683815 -8.366337
61712 -5.750539 -3.250009
66384 3.042603 2.639097
71205 -3.050359 13.486770
79281 2.312890 -8.276649
86464 4.589537 5.240050
89030 1.562549 -0.258286
89665 1.976382 -8.561625
94771 13.173306 2.143832
4112 -11.961008 -0.913428
5328 4.856314 -9.788652
19938 -6.028793 -0.559939
21234 -7.014848 -1.850411
21783 -5.201946 0.459441
23334 -7.217579 -1.790257
28967 -6.390744 -2.838299
31058 -7.173661 -1.947819
32836 16.046993 3.768627
34719 -7.219560 -1.674078
43779 -7.115722 -1.608101
52364 4.197922 9.677243
61514 -6.970339 -1.591644
61935 -2.897401 -1.412651
69953 -6.606150 -2.840185
91744 -5.891335 -0.969366
94275 -4.734838 17.475454
94369 -4.436269 1.421530
106502 -1.187527 -1.395767
3483 4.237143 1.118229
3526 6.427712 4.343549
3881 4.571479 1.597357
6121 6.463008 5.120215
6292 3.277488 3.209510
7524 3.501737 3.482823
13402 5.032951 3.616990
19436 13.341566 -3.660102
21385 6.468112 4.942854
22642 6.840349 4.088080
28226 5.275594 6.665825
33182 5.282817 3.597636
33269 5.527047 3.364091
33410 5.103804 -0.765361
34770 6.285596 4.468976
35888 6.559053 5.147467
36022 13.589804 -3.652628
42390 0.719012 13.573279
43339 3.787521 3.530136
43937 16.675001 10.263830
44753 6.030126 5.726083
45101 10.369756 -8.074753
47807 5.395690 6.078980
51028 2.812737 6.079576
53588 15.204895 -2.579012
54819 3.720466 2.991251
55680 4.768677 -0.206771
56672 3.288523 0.335042
63645 3.546010 0.770553
63967 3.608050 0.867597
65060 16.600512 10.255014
71668 -4.648162 3.459355
74451 4.960202 -0.224837
76163 2.861188 2.685314
76704 4.745536 5.624345
83876 7.504920 5.217983
87546 -0.871651 3.523061
92075 16.135323 10.442204
93573 13.466771 -3.704546
101196 13.603694 -3.646028
101910 13.422793 -3.806423
103979 -0.756545 6.371698
105312 3.743421 0.917839
105473 4.226366 9.951600
105945 6.390906 4.167014
107373 -3.485330 18.123304
47799 2.010774 -2.569254
25516 3.702477 0.742298
37882 2.662029 3.106084
43408 3.434116 -3.705568
45271 0.860127 -2.987615
99596 1.773167 2.991534
12265 5.544628 16.907721
27111 9.871916 13.238604
27577 -3.209074 18.004927
29350 6.166909 12.136094
40424 5.857583 1.195166
42816 4.213881 10.341191
53856 -5.589951 17.355564
56178 -9.579449 22.897409
65981 6.503781 8.885845
88071 5.939422 12.721032
91976 6.361689 17.844677
100800 5.843904 12.423089
103796 3.796109 7.229516
104865 6.156576 11.938813
13163 8.418056 2.334074
13540 11.752115 6.276632
18262 11.413235 5.706617
79167 11.684214 6.213709
98315 11.304271 5.590564
99308 11.434654 5.767673
51685 4.534000 -3.512475
61846 -2.506596 1.818883
8192 0.270130 0.243856
48156 -3.208358 2.621189
53434 -2.475471 1.779485
66131 -2.375293 2.121824
87093 -4.379331 0.599847
94348 -6.457644 19.345346
106626 -2.696897 2.542171
240 -6.237667 13.751062
3098 -5.018062 14.129382
8666 -4.821157 14.103875
8745 4.923705 -3.038707
12031 -6.258539 13.742639
17955 -4.569010 14.068282
18537 13.907474 -11.331463
25029 5.706045 -3.227378
26511 1.852117 1.726130
29715 -6.228226 13.700547
33735 6.324863 25.626051
42592 -4.899611 13.976363
45178 -5.786015 17.372456
48431 -9.150168 25.282133
50840 -4.332038 14.537555
60746 -5.258957 14.035943
61485 -4.939386 14.108388
66272 -6.194804 0.970834
69439 -1.251566 14.058900
74925 -4.890040 16.584299
76086 -6.412341 13.347793
78254 -0.014822 2.350946
79941 -4.906714 14.074075
83382 -5.248745 14.054152
84238 -5.004351 14.041537
87116 -6.037439 13.646482
87253 -6.318841 13.818791
97060 -4.974005 14.000722
102069 -4.642920 14.150761
103443 -6.308242 13.843404
103809 -6.248786 13.722344
104944 -6.319255 13.801122
106560 -6.241903 13.758421
35066 2.407461 7.870796
130 2.559530 7.852167
16816 -0.759438 1.974469
20771 2.440676 7.880892
27962 5.802722 12.179993
46352 2.612355 7.973991
51014 2.477698 7.952240
73539 -2.031007 -1.025700
85840 -0.679303 2.144197
87923 -10.279079 11.962461
92945 2.116723 8.152953
69597 9.043856 4.721598
74511 16.725000 -4.038398
77058 16.007542 -4.227226
23069 -8.151429 2.808237
1034 -8.348753 2.653479
1132 -8.140576 2.547997
14454 -7.881557 3.016961
21925 -8.257428 2.716013
30901 -7.937809 3.040872
32155 -8.054657 2.823168
34042 -8.196043 2.748772
44152 -8.285054 2.752278
48773 -8.368835 2.584968
56098 -8.007546 2.996657
57391 -8.183120 2.734384
57735 -8.012463 2.976371
76044 -8.175962 2.764785
99790 -2.785741 -1.223403
13634 -3.620025 -4.141986
15148 -1.574326 8.427824
15200 0.053144 6.912718
22313 0.556841 -2.703425
33572 -2.708481 -1.403971
36614 -2.808207 -1.372354
41443 -2.313622 -0.311043
51065 -2.410717 2.074888
96197 -2.716992 -1.516175
106905 -11.378061 -0.428396
11214 -7.374186 7.975584
40305 -4.366641 1.062719
64796 -5.213030 8.389757
79257 -4.090588 4.798651
81297 -5.368979 0.966749
93113 -6.606130 7.276811
58629 -5.381317 -3.718118
15534 -5.041756 -2.110311
17212 -5.678781 -4.011354
18078 -4.608544 -4.962781
21483 -5.191358 -3.508228
24489 -4.106411 -5.357087
25346 -5.301677 -4.380992
27199 -5.884717 -3.011780
40007 -5.768247 -3.663923
42316 8.333829 8.989240
59037 -5.397787 -4.383120
59163 -5.698978 -3.356266
63358 -5.658681 -3.385811
64333 -8.308435 -3.917404
71461 -5.782554 -3.396083
73800 -5.214230 -3.633993
76765 -5.441752 0.693996
78789 -5.446850 -3.302088
79087 -7.218555 1.023239
79456 -5.223171 -3.556557
79659 -3.893322 -4.265644
81115 -5.362215 -4.191363
91418 -5.328286 -3.698053
99366 -4.503902 -1.615764
106309 -4.491533 -1.591391
108119 -5.418809 -3.613709
2583 22.779694 -1.231110
3198 -4.917449 -3.225344
4781 -5.296143 -2.561795
4949 -5.304520 -4.423715
5715 -5.385046 -2.705976
5989 -5.632622 -2.320462
8350 -8.235740 -0.811643
9489 -1.883802 -6.663440
14118 -6.241437 -2.557931
19383 -5.755626 -3.597343
21248 -8.291135 -3.400229
30037 -6.229817 -2.731152
30576 -8.002354 -3.253364
32517 -5.949810 -3.208197
47438 -8.306875 -2.942797
53048 22.514267 -0.975217
64996 -5.571972 -2.915041
75404 -6.496156 -3.810652
81189 22.549639 -0.977426
83746 -8.230933 -4.058347
85952 -8.885117 -3.399288
99690 22.661955 -1.090890
18288 -2.629335 -3.552432
189 -4.980544 3.159427
5215 -5.632928 5.688532
13936 10.340628 1.455575
21181 -1.394989 -4.249051
35125 -8.110362 -4.249323
51882 -4.178340 -1.495531
52228 -4.352472 9.653935
55406 -3.335618 -3.334430
57600 -7.810180 -4.586904
64071 -2.064699 -3.633585
79862 -3.179577 -3.526124
82526 -1.820151 -3.787593
88656 5.909764 3.179335
91392 -8.064271 -4.665717
19606 3.469345 -2.382771
21987 6.939480 3.772631
22054 5.974327 3.031974
27649 6.508265 5.508896
31432 5.703006 2.807235
41591 5.700210 3.430926
45876 5.648036 3.750835
57832 5.843297 2.719164
59003 5.814848 2.938771
67757 6.066463 7.093286
67869 6.064775 3.594594
79806 5.900002 2.426754
80171 5.974405 2.642303
102554 6.115355 3.107403
22790 7.552007 -10.847635
23480 0.890452 -0.167933
28141 0.486586 0.191164
51041 0.515530 0.222599
53923 -1.712427 9.682806
54112 -3.698660 3.184430
62335 -4.845073 8.453177
90225 -3.494855 0.090602
106628 0.369879 0.303870
108152 0.518362 0.201235
16723 -7.492338 -1.680296
16766 -7.618354 -1.707052
34467 -2.279123 2.096725
59595 4.101912 16.135750
74147 -2.412655 1.973842
74638 -8.113039 -3.058197
78690 -7.610655 -1.677435
102009 -1.816863 1.753316
15221 1.183047 9.223160
31652 -8.464695 10.496268
3833 -3.260505 18.332109
7399 11.028895 23.654800
13503 1.718501 12.168801
14990 10.001489 22.573694
15345 2.164130 5.644442
15822 1.272094 10.940188
24329 1.189085 21.336182
24898 8.468885 15.065106
25115 0.922891 21.332531
26750 10.621911 22.948822
37847 1.841637 12.508658
41363 9.303368 21.701565
42252 7.911820 15.149600
42890 12.622397 23.604868
43683 1.620921 10.537847
45942 1.648238 11.358928
48794 4.090403 3.287096
52658 2.456156 11.312785
54827 -1.372930 9.046780
67616 1.784967 12.392028
72784 1.733166 11.921363
78606 12.413173 23.569607
82770 9.491307 21.811077
83352 15.323637 6.236266
92413 1.725943 12.346409
97375 1.717166 12.076233
98410 7.949283 15.163985
88557 -3.967900 4.467574
673 -1.420757 -7.115207
1041 9.116589 21.591871
1995 -7.946909 -4.943818
3139 -1.453183 4.287775
4199 -7.041714 6.138472
5576 -3.657763 2.350821
6007 -3.565816 2.686878
6313 -2.088475 4.191216
9004 12.468579 -3.807286
9227 -5.977698 1.272191
10117 9.125814 -4.709701
10915 12.461559 -3.805489
11559 8.590101 22.831148
11760 -8.406915 -4.359382
12593 13.548933 2.123996
12797 10.525405 12.504251
12865 8.823646 -4.558055
12915 8.906809 21.930277
13000 -3.888272 9.347883
13217 13.672358 -0.804941
14428 -3.846610 2.689036
14934 0.948657 3.074097
15072 9.074492 -4.751306
16166 1.336423 9.001569
16727 0.871982 11.290888
17758 13.660612 -0.796550
18928 13.456170 2.236545
18996 -7.904420 3.050423
19051 -3.451366 2.505545
19111 -3.532141 2.740010
19211 -1.327432 -3.562636
19411 -7.209596 6.134802
20113 11.633759 22.894712
21344 13.642025 2.263566
22023 9.114845 21.588369
23425 9.245787 22.835548
23592 5.137039 11.593480
24098 1.942442 5.532183
24390 -12.808192 1.063432
24606 -12.308101 0.559421
24928 9.253955 22.723385
25296 13.406955 -0.414513
25371 13.365231 -0.562822
25696 -3.822608 9.412710
25926 9.001122 21.297651
26075 12.449110 -1.291765
26928 -8.313933 -0.481205
27314 11.474162 0.262045
27458 -7.860751 -0.435685
28348 13.395103 2.228477
28575 5.590160 -1.042775
29121 8.902811 -4.542116
30488 2.230266 -5.705344
31522 9.167395 -4.873149
31762 4.666504 -9.718772
32165 13.415881 -0.534352
33118 -1.635574 5.639904
35688 -8.073861 -4.934804
37101 7.899901 11.781804
37118 13.025190 2.285400
37136 5.883356 19.481497
37829 -13.352173 -0.583787
38159 12.471399 -3.825723
38606 -0.595312 6.040245
38831 3.189064 -6.478860
39193 0.778062 11.358933
41228 9.530475 22.680796
42792 14.004242 17.703390
43911 0.801095 11.315711
44534 3.219509 -6.560647
45011 12.621562 -4.642670
46016 2.619437 10.846190
46934 -1.447834 4.624566
46999 -0.876333 11.873225
47132 -7.181970 6.124366
47663 3.199266 -6.563076
47690 9.104453 22.761967
48194 -2.400105 5.916858
48415 -3.699205 0.581715
49421 -6.640344 -3.098930
50674 4.144997 3.877515
50945 -7.537420 11.895962
51055 13.417320 2.200705
51562 2.163719 -2.891245
51617 8.349894 23.030668
51887 10.451998 24.377735
52421 3.629559 10.168935
53487 3.420129 -1.746737
53741 -1.241456 5.545991
53775 -3.915969 9.325169
53791 -0.470353 7.405113
53806 -1.551640 8.605433
53880 -2.515597 8.235973
54178 9.190637 6.807317
54862 -1.368866 5.731076
54888 -1.380881 5.865613
55056 -2.251104 2.567554
55437 1.338419 8.565810
56293 13.520371 2.139297
56299 5.724740 19.463070
56456 -1.841268 3.847987
58328 3.783341 -9.841805
59400 13.583944 -0.695659
59446 13.629072 2.134822
59473 13.449760 2.239004
59728 14.866078 21.317715
60450 10.358927 12.591204
61228 1.145565 8.529465
61330 -8.489595 2.490704
61795 12.455063 -3.824868
62131 -7.413383 8.080216
62217 8.139530 9.231459
65130 2.165281 10.842140
65285 9.290887 22.849485
66108 -13.365364 -1.664120
66800 12.427172 -3.215278
67123 3.412316 6.369481
68724 -3.351147 9.797726
68811 3.437538 11.390844
69454 0.915378 11.274709
69510 10.032289 25.453995
71613 2.402645 10.776377
73147 0.902229 11.251649
73524 2.298547 0.331784
73664 -8.577031 -0.689274
73706 -7.161099 6.085132
73904 -12.107640 14.671995
74724 14.808601 21.199690
75027 -12.899163 1.218293
75988 10.792220 11.542425
76029 5.549611 19.567522
76911 -12.055468 0.246942
76939 -8.941825 14.655214
76949 -7.245953 6.119651
76955 -7.266995 6.206869
76989 2.935380 -6.194193
77308 -3.454933 2.485732
77620 -2.128834 4.211851
78521 2.327513 13.752221
79967 2.293643 10.955003
80222 10.859212 12.681606
81662 -7.648454 5.930790
84430 -0.179298 -0.353337
84761 16.985304 16.083122
84877 9.065628 -4.700108
85864 -0.918697 2.152788
87165 -3.836676 9.553376
87532 -11.977777 0.351542
87782 10.962545 0.687187
88971 9.480737 22.824081
89351 -1.162428 6.041698
89540 -13.021619 13.135413
89688 -12.505035 0.165135
90487 8.971958 -4.583729
90758 -2.533968 7.344299
91575 9.050181 -4.684970
92538 -12.187514 -0.044485
92541 -1.389891 5.829147
92709 0.904368 13.768525
92822 -3.180724 8.004229
93740 5.896098 18.938492
94448 -3.389653 3.179997
95573 -8.491064 2.348825
95607 10.074944 12.868032
98553 9.574517 -0.336024
98787 -7.170888 6.131956
99115 -3.288094 10.228359
101355 -2.382407 6.798643
102388 0.433811 -2.027023
102934 9.183818 21.615473
103074 13.353474 12.066146
103180 -7.410033 8.120890
104019 2.055919 5.630109
104100 1.202579 8.630802
104572 9.303301 21.586271
104657 3.637114 8.731149
106773 -1.428219 7.084895
107086 -2.565284 6.568942
107341 -1.377400 6.056632
107705 -1.664128 4.210181
108214 -7.242443 6.187994
4035 -4.300798 15.331010
19747 14.567229 21.292358
76737 -1.715621 -0.562645
79711 2.577331 17.433952
94716 -4.311144 15.380481
106218 0.251708 5.525377
13086 -0.863843 -1.055947
22117 -1.009206 -1.042756
106610 -0.707394 -1.060748
26970 2.598184 2.488380
75100 -4.259610 -7.969851
40111 -4.340155 -7.905265
52868 -4.082310 -8.041592
65575 -4.310093 -7.966742
75889 -9.027818 0.903449
427 -8.747522 0.959602
6942 -4.747178 -0.664050
11968 8.780508 0.075038
27623 -7.681556 -4.984278
30433 -10.165020 1.417494
33060 10.283299 2.881537
64643 -9.507528 1.086972
67342 -8.527774 -0.373048
71548 3.582327 10.823639
80751 -6.553683 14.312822
98291 8.110809 -8.429179
101191 1.150924 4.895473
49684 -4.088801 -0.863045
61238 -3.673845 2.380619
616 6.135278 -1.543713
1498 17.591169 2.347612
1764 -2.887111 -4.480504
1930 -10.650851 4.763877
5869 5.787195 -1.613386
6911 5.753855 -2.564870
6960 5.241758 -1.582828
10765 3.855960 0.545214
13443 4.398555 3.882065
